Phase,Mean_Atomic_Radius,Atomic_Size_Diff,Avg_Tm,Std_Dev_Tm,H_mix,Std_Dev_H_mix,S_mix,EN,Std_Dev_EN,VEC,Std_Dev_VEC,Mean_Bulk_Mod,Std_Dev_Bulk_Mod
BCC_SS,0.5905906601,-0.4242090959,0.3924763621,-0.3001937251,0.3026973518,-0.2899811865,0.4945470078,-0.08664340088,0.5347935356,-0.4684108725,-0.7290014568,-0.04483761834,-0.149328471
BCC_SS,0.5033527141,-0.39186564,0.3664176522,-0.3289763656,0.1060713576,-0.1335954531,0.5782986501,-0.09959103872,0.4181435932,-0.4583087859,-0.7580261754,-0.00553709856,-0.1990274872
BCC_SS,0.3502412451,-0.6852642283,0.4978321493,-0.1046643212,0.2678131908,-0.4619722515,0.2986323766,-0.4050793413,-0.8051957804,-0.4738227092,-0.9277918189,0.008859357697,-0.4703870934
BCC_SS,0.7131353112,-0.4375836643,0.2729604346,-0.3796781259,0.1685105409,-0.1531990662,0.1947087957,-0.6392486963,-0.4405259533,-0.5843006475,-0.8978522943,-0.358099265,-0.7035129088
FCC_SS,-0.5429089977,-0.9230761002,-0.1307427702,-0.9644324228,0.7759988124,-0.9167726671,-0.06192015881,0.7005834432,-0.9017413342,0.8448607647,-0.721326513,0.3983019545,-0.9256889459
FCC_SS,-0.60460225,-0.6697101309,-0.1358785927,-0.9502006228,0.2381405687,0.4997864064,0.1720471928,0.7079993464,-0.9045146177,0.7255228989,-0.3284939368,0.3755856566,-0.8671667038
Im,-0.6574821922,-0.5680429369,-0.1402807287,-0.9412158824,-0.1508353725,0.7673337887,0.255380463,0.7143558232,-0.9074981283,0.623233295,-0.1347705687,0.3561145408,-0.8376084935
Im,-0.7033114753,-0.5048607816,-0.1440959132,-0.9352815177,-0.4341539476,0.8557330119,0.2898566223,0.7198647698,-0.9105602027,0.5345823052,-0.01459539773,0.3392395738,-0.8191934018
FCC_SS,-0.4699987606,-0.6200044625,-0.1831031332,-0.4440471543,0.5339423975,-0.2972668547,0.1720471928,0.6273515468,-0.6615220358,0.7016553247,-0.202098868,0.3125479191,-0.5711589271
FCC_PLUS_BCC,-0.4075042834,-0.5096861984,-0.2279834468,-0.2306954055,0.3592718629,-0.1661868481,0.255380463,0.5645813383,-0.5518996015,0.5789077999,0.04050237022,0.2390444568,-0.4404603299
FCC_PLUS_BCC,-0.3533424033,-0.4454380374,-0.2668797185,-0.08661511914,0.2323861729,-0.117521113,0.2898566223,0.5101804911,-0.4846930262,0.4725266121,0.1897191481,0.1753414564,-0.3617757578
FCC_SS,-0.524681435,-0.9186257301,-0.04708205264,-0.6085959067,0.6394127222,-0.767062569,0.2986323766,0.5077703202,-0.5539982398,0.6121519186,-0.3646281042,0.3521594684,-0.8692938478
Im,-0.5013450169,-0.7699327942,-0.0291308487,-0.5053232997,0.6214660495,-0.7604705865,0.402011193,0.4878040744,-0.5278344157,0.5868373372,-0.3283975591,0.3342283358,-0.7951684802
Im,-0.490003017,-0.7273270634,-0.020406184,-0.4648186843,0.6131730053,-0.7580239057,0.4334449188,0.4781000691,-0.5161345272,0.5745339223,-0.3121670531,0.3255134313,-0.7685401506
Im,-0.4791515556,-0.6931024346,-0.01205885145,-0.4303052387,0.6055015563,-0.7560721663,0.4585493126,0.4688157351,-0.5055114109,0.5627626073,-0.2974177759,0.3171754301,-0.7462268431
Im,-0.4580190741,-0.6380737891,0.004196991234,-0.3724689172,0.5912998786,-0.7532074922,0.4974426375,0.450735189,-0.4863127844,0.5398388232,-0.2707386726,0.3009377765,-0.7090062825
Im,-0.4378733341,-0.5951982669,0.01969382375,-0.3264236692,0.5786691867,-0.751441666,0.5252773435,0.4334987946,-0.4697025416,0.5179853534,-0.2476408993,0.2854582603,-0.6790446784
BCC_SS,-0.3387603655,-0.4565532072,-0.199951147,0.06579540922,0.2050689557,-0.2568027511,0.5782986501,0.3559299805,-0.4236844871,0.2863595303,0.175334901,0.138427464,-0.3803901709
BCC_SS,-0.3387603655,-0.4565532072,-0.199951147,0.06579540922,0.2050689557,-0.2568027511,0.5782986501,0.3559299805,-0.4236844871,0.2863595303,0.175334901,0.138427464,-0.3803901709
BCC_SS,-0.3387603655,-0.4565532072,-0.199951147,0.06579540922,0.2050689557,-0.2568027511,0.5782986501,0.3559299805,-0.4236844871,0.2863595303,0.175334901,0.138427464,-0.3803901709
BCC_SS,-0.3387603655,-0.4565532072,-0.199951147,0.06579540922,0.2050689557,-0.2568027511,0.5782986501,0.3559299805,-0.4236844871,0.2863595303,0.175334901,0.138427464,-0.3803901709
Im,-0.3949441396,-0.2057000059,-0.165801964,0.286991496,0.1641340916,-0.2436282095,0.6597023149,0.4106548702,-0.2065605631,0.2668910732,0.1835595772,0.2013549568,-0.1181981131
